industry,quarter,industry_fe,industry_nn_predicted_fe,industry_linear_predicted_fe,n_firms,industry_sentiment
Retail,2023Q2,0.03581101877500769,,,1,
Retail,2023Q3,0.03902592004836394,,,1,
Retail,2023Q4,0.03451921824104234,,,1,
Retail,2024Q1,0.03290639319223217,,,1,
Retail,2024Q2,0.0340174149659864,,,1,
Retail,2024Q3,0.03147336426171813,,,1,
Retail,2024Q4,0.024542519751932716,,,1,
Retail,2025Q1,0.033919004187460564,,,1,
Retail,2025Q2,0.025322047525460065,,,1,
Retail,2025Q3,0.02674686436331422,,,1,
Retail,2025Q4,0.02538704446530682,,,1,
Retail,2026Q1,0.01995050301810865,,,1,
