firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
AMAT-US,2023Q3,0.05311844852611387,,,124123.07,3674,Electronic Equipment
AMAT-US,2024Q1,0.03918548242199198,,,138734.92,3674,Electronic Equipment
AMAT-US,2024Q2,0.04153026628265374,,,163864.5,3674,Electronic Equipment
AMAT-US,2024Q3,0.0452967345899134,,,161830.53,3674,Electronic Equipment
AMAT-US,2024Q4,0.046314572089437164,,,149695.3,3674,Electronic Equipment
AMAT-US,2025Q1,0.049598833370019815,,,147636.75,3674,Electronic Equipment
AMAT-US,2025Q2,0.05087406015037594,,,119540.14,3674,Electronic Equipment
AMAT-US,2025Q3,0.04419415750305454,,,143443.44,3674,Electronic Equipment
AMAT-US,2025Q4,0.030672113523973334,,,185259.2,3674,Electronic Equipment
AMAT-US,2026Q1,0.02101804652252886,,,270928.88,3674,Electronic Equipment
AMAT-US,2026Q2,0.019209865902811225,,,313209.03,3674,Electronic Equipment
