firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
CME-US,2023Q2,0.0425482186127936,,,65219.836,6200,Trading
CME-US,2023Q3,0.03634269921695071,,,78100.91,6200,Trading
CME-US,2023Q4,0.03963709677419354,,,74100.305,6200,Trading
CME-US,2024Q1,0.03794056603773585,,,76325.34,6200,Trading
CME-US,2024Q2,0.04076660812067362,,,69706.92,6200,Trading
CME-US,2024Q3,0.03673936602546735,,,79805.125,6200,Trading
CME-US,2024Q4,0.036284731182795696,,,83783.484,6200,Trading
CME-US,2025Q1,0.035011175155864015,,,91907.6,6200,Trading
CME-US,2025Q2,0.0315306196488173,,,99334.336,6200,Trading
CME-US,2025Q3,0.033979014116403715,,,95536.48,6200,Trading
CME-US,2025Q4,0.030395958003368334,,,100631.71,6200,Trading
CME-US,2026Q1,0.030284006472705655,,,109725.08,6200,Trading
